# Constructed from biom file
#OTU ID	SRR13247365	SRR13247365C	SRR13247372	SRR13247372C	SRR13247410	SRR13247410C	SRR13247414	SRR13247414C	SRR13247420	SRR13247420C	SRR13247432	SRR13247432C	SRR13247439	SRR13247439C	SRR13247459	SRR13247459C	SRR13247464	SRR13247464C
PWY-6892	27731.171537610368	27731.171537610368	30434.380775029727	30434.380775029727	35216.449090557326	35216.449090557326	26346.963786014065	26346.963786014065	27474.699441273744	27474.699441273744	22968.051242378202	22968.051242378202	27902.051193195148	27902.051193195148	46999.05957696241	46999.05957696241	21975.913706572126	21975.913706572126
PWY-6895	15879.026955151277	15879.026955151277	18347.387269053135	18347.387269053135	20091.275611352747	20091.275611352747	14824.900757657524	14824.900757657524	16768.73582780955	16768.73582780955	13732.836672497735	13732.836672497735	17330.840069663027	17330.840069663027	9865.46550536811	9865.46550536811	11863.73142457379	11863.73142457379
PWY-6897	34545.36740369664	34545.36740369664	36261.77749567149	36261.77749567149	33214.52254822516	33214.52254822516	35003.15515223936	35003.15515223936	36051.5922796571	36051.5922796571	26247.395188911618	26247.395188911618	37438.27062698651	37438.27062698651	48789.226708407456	48789.226708407456	30766.51437936214	30766.51437936214
PWY-6901	25645.053766353834	25645.053766353834	31344.48692403613	31344.48692403613	29221.016160500407	29221.016160500407	26205.617937175164	26205.617937175164	25576.885208411117	25576.885208411117	10045.689846658901	10045.689846658901	18284.196673301096	18284.196673301096	22840.65157394094	22840.65157394094	14565.719939594255	14565.719939594255
PWY-6906	73.7115288486996	73.7115288486996	133.31496540528892	133.31496540528892	137.83079078976988	137.83079078976988	10.193098327996855	10.193098327996855	790.1607192791737	790.1607192791737	106.56209686640652	106.56209686640652	42.17686715654041	42.17686715654041	5.548419804486516	5.548419804486516	46.80598500407571	46.80598500407571
PWY-6919	0.0	0.0	0.003644735432820995	0.003644735432820995	0.0	0.0	0.0	0.0	0.0	0.0	0.005462647660535306	0.005462647660535306	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6942	0.0	0.0	0.712643562160264	0.712643562160264	0.0	0.0	0.0	0.0	0.025299780060354486	0.025299780060354486	0.5178080320898677	0.5178080320898677	0.03279782281693912	0.03279782281693912	0.0126003740326532	0.0126003740326532	0.1645578326803788	0.1645578326803788
PWY-6944	11.676304019978504	11.676304019978504	16.641173541876867	16.641173541876867	0.10574521370835155	0.10574521370835155	11.311713715332875	11.311713715332875	39.13641358202194	39.13641358202194	1.820501459133097	1.820501459133097	1.130417607353575	1.130417607353575	4.523642354065999	4.523642354065999	10.795769511397317	10.795769511397317
PWY-6946	0.00028946492839043275	0.00028946492839043275	7.057551365570801e-05	7.057551365570801e-05	0.0	0.0	1.002556497438141e-06	1.002556497438141e-06	0.00012638917854959278	0.00012638917854959278	1.1156486671749085e-06	1.1156486671749085e-06	2.1156033289023932e-06	2.1156033289023932e-06	5.236443395702197e-06	5.236443395702197e-06	5.609632910808834e-06	5.609632910808834e-06
PWY-6948	0.15868682005930357	0.15868682005930357	0.36515158099839273	0.36515158099839273	0.04081593878686123	0.04081593878686123	0.0479419652905407	0.0479419652905407	3.3126351635839586	3.3126351635839586	0.015241448262148937	0.015241448262148937	0.022263991159651175	0.022263991159651175	0.4673184674270206	0.4673184674270206	0.18843931881760986	0.18843931881760986
